GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1QE001,NAME_M,AH1QM001
"G010","2013-2017","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,,"Alabama",119712843000,"Alabama",836296844
"G020","2013-2017","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,,"Alaska",23856699800,"Alaska",317563597
"G040","2013-2017","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,,"Arizona",183032057800,"Arizona",966977999
"G050","2013-2017","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,,"Arkansas",70363913800,"Arkansas",625469474
"G060","2013-2017","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,,"California",1238596098600,"California",4651184073
"G080","2013-2017","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,,"Colorado",184071648000,"Colorado",928615363
"G090","2013-2017","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,,"Connecticut",144343658300,"Connecticut",976059766
"G100","2013-2017","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,,"Delaware",29649491900,"Delaware",408011064
"G110","2013-2017","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,,"District of Columbia",32271215700,"District of Columbia",443680220
"G120","2013-2017","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,,"Florida",548238194100,"Florida",3179729137
"G130","2013-2017","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,,"Georgia",273862985500,"Georgia",1598045752
"G150","2013-2017","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,,"Hawaii",43531837800,"Hawaii",433265461
"G160","2013-2017","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,,"Idaho",41016958500,"Idaho",475977734
"G170","2013-2017","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,,"Illinois",410830492900,"Illinois",1841660023
"G180","2013-2017","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,,"Indiana",175565200400,"Indiana",1067034217
"G190","2013-2017","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,,"Iowa",92004632400,"Iowa",638160303
"G200","2013-2017","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,,"Kansas",83734036100,"Kansas",541452440
"G210","2013-2017","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,,"Kentucky",111119964500,"Kentucky",755402473
"G220","2013-2017","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,,"Louisiana",116180624600,"Louisiana",941823530
"G230","2013-2017","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,,"Maine",38900553800,"Maine",354444426
"G240","2013-2017","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,,"Maryland",226494637200,"Maryland",1169127694
"G250","2013-2017","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,,"Massachusetts",263375221200,"Massachusetts",1369979329
"G260","2013-2017","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,,"Michigan",280334978000,"Michigan",1216384194
"G270","2013-2017","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27",,,"Minnesota",186889633700,"Minnesota",944487411
"G280","2013-2017","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28",,,"Mississippi",64413682400,"Mississippi",550604793
"G290","2013-2017","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29",,,"Missouri",167377874100,"Missouri",1092886178
"G300","2013-2017","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30",,,"Montana",28819555200,"Montana",354015802
"G310","2013-2017","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31",,,"Nebraska",55613018600,"Nebraska",355983880
"G320","2013-2017","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32",,,"Nevada",77720958400,"Nevada",591994893
"G330","2013-2017","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33",,,"New Hampshire",48249109000,"New Hampshire",461552596
"G340","2013-2017","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34",,,"New Jersey",338840563100,"New Jersey",1764819955
"G350","2013-2017","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35",,,"New Mexico",49789598000,"New Mexico",466032009
"G360","2013-2017","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36",,,"New York",682386636800,"New York",3545785400
"G370","2013-2017","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37",,,"North Carolina",273231005100,"North Carolina",1471457669
"G380","2013-2017","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38",,,"North Dakota",25337624600,"North Dakota",299112539
"G390","2013-2017","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39",,,"Ohio",329503027000,"Ohio",1527253465
"G400","2013-2017","OK",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40",,,"Oklahoma",99422855000,"Oklahoma",519852948
"G410","2013-2017","OR",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41",,,"Oregon",119209187100,"Oregon",734087786
