"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"WA",0,1,1,41910,42349.1698774028,42119.5162845046,42285.8354663636,42163.2862978743,42584.6829234857,42362.6446946038,41518.5514383962,41161.9758356343,40749.8009352238,40284.5990280324,39781.436519879,39244.5014036425,38711.8648301126,38188.7188757376,37685.888406415,37206.013308351,37112.5027271971,37031.5092599991,36952.1043818621,36874.2230750008,36794.6762650235,36676.3034199534,36551.5809282256,36417.0376978917,36269.4997985093,36103.1762530931,35892.3515163556,35654.4546529444,35382.4860055094,35087.1244969962,34767.3171351078,34409.4123110935,34026.0842077762,33620.7906438516,33199.8076860181,32765.7606624833,32461.8560796569,32157.2769852783,31855.5598482377,31558.4744928149,31266.9873758444,30991.3833448495,30728.1274828493,30474.5405070555,30231.9339228982,30002.3446597275,29785.1959546181,29572.2303016965,29362.0230156193,29152.6438607165,28941.3520351639,28727.8688517915,28507.2187172589,28277.9590702068,28039.2385620865,27790.8235221075,27533.7554743491,27268.7297457315,26997.2950075415,26720.9848513902,26441.3344004617,26159.3714775683,25877.0374099237,25595.6032767507,25316.5013183256,25041.2660462245,24769.4867860089,24502.6921835999,24241.3447249414,23985.5489830617,23735.3371530399,23489.2259399267,23247.5129426093,23009.5491661135,22774.546190064,22541.5431482238,22308.8770574042,22076.5666440253,21843.9813491889,21610.442236156,21375.4891697235,21138.3960462153,20899.382070108,20658.3353273996,20415.2763712231,20170.4485394232,19928.3908457677,19685.0186562585,19440.7653772837,19196.1021960152
"WA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",1,1,1,44000,42165.3272944783,42615.6833284302,42376.1968470756,42534.1739367008,42403.4019098813,42817.7458791646,42584.7315307472,41729.28109666,41362.3874512419,40940.1634586735,40465.2898555375,39960.0726409625,39420.6947561146,38885.3316406283,38359.197313898,37853.1991050557,37369.8298455221,37272.7119232989,37187.8909103514,37104.3838846271,37022.1034937966,36938.3461981136,36815.8647577412,36687.0421209341,36548.4523182834,36397.0193308505,36228.8502978141,36016.255865586,35776.7938446018,35503.6878390194,35207.3285249284,34886.201806454,34527.2472848138,34143.0445674019,33737.0563331817,33315.4702920578,32880.4348946706,32575.6982179755,32270.2311647848,31967.6434398267,31669.6394285209,31377.2244505969,31100.6503427742,30836.3232374367,30581.7008365702,30337.9986695646,30105.6834810894,29885.7370356678,29670.0091229357,29457.0023808264,29244.8678853209,29030.7801980277,28814.5568114626,28591.1628943603,28359.1963437868,28117.8413277739,27866.7996407296,27607.1544518498,27339.6031985095,27065.7235193519,26786.9712302122,26504.9134955695,26220.5719539827,25935.8835266649,25652.1496053509,25370.7315955246,25093.1873713916,24819.1017153405,24550.003889032,24286.3531896921,24028.2523651821,23775.7291585115,23527.2975145574,23283.2589902331,23042.9637606558,22805.6238727112,22570.2862563265,22335.2562053457,22100.6109424613,21865.6921738481,21629.8232822761,21392.516313455,21153.1024905314,20911.7741862899,20668.3940764125,20423.0363374729,20175.5621580544,19930.8727807803,19684.88386247,19438.0280094031
"WA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",2,1,1,43540,44359.9990024007,42511.8285293274,42973.9566591235,42724.0966715646,42873.9977121245,42734.5887284583,43138.3718760512,42893.55597368,42024.519467316,41646.1642730873,41212.6184105578,40734.0722596039,40225.3077556262,39681.9339348835,39142.3148666202,38611.6983641983,38100.9497618496,37612.7163911948,37511.4727098511,37422.3380208522,37334.2540738583,37247.1977330849,37158.7015784747,37031.4556577964,36897.9141227665,36754.6405556341,36600.4869406511,36429.7967873881,36214.6681837015,35972.8196238347,35697.6775015734,35398.848680754,35075.2985503676,34714.0734747545,34327.773655237,33919.8290553373,33495.8072047113,33058.4002056685,32751.669608587,32444.2028166173,32139.6080756281,31839.5027751988,31545.0184444275,31266.3748842885,30999.9500016208,30743.2541119801,30495.8738210074,30259.8506284881,30036.1932473993,29816.7679608397,29600.0765312259,29384.2740628701,29166.5349325376,28946.6828482483,28719.6891295009,28484.1515291645,28239.2544598694,27984.7067020801,27721.5988959055,27450.6308971254,27173.3795537231,26891.2948368798,26605.9424403558,26318.3405284207,26030.42367658,25743.4945169545,25458.9110894513,25178.2224477784,24901.0093377538,24628.8034281094,24362.0613690662,24100.8839052169,23845.2930102479,23593.7989767777,23346.707329116,23103.3664720914,22862.9875102097,22624.619737561,22386.5666646419,22148.9071855608,21910.9835318304,21672.1213901,21431.8317826409,21189.446648029,20945.1602434819,20698.83483317,20450.5562514345,20200.1742278179,19952.5942690241,19703.727888805
"WA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",3,1,1,43990,43949.8566825741,44713.8928002781,42852.6236241974,43326.1161356917,43066.1022679161,43208.1055043086,43055.8608508929,43449.204254485,43192.6904912989,42310.1689825159,41920.4278927003,41483.0232965178,41000.847714151,40488.565596774,39941.2296030545,39397.3918385858,38862.189442615,38346.7338825011,37853.6817265797,37748.3649497619,37654.9726952013,37562.4580718347,37470.689607626,37377.5196276302,37245.5715561588,37107.3731842141,36961.3194571676,36804.5011054222,36631.3381401727,36413.7225935465,36169.5289338933,35891.8478584916,35590.5683755932,35264.6163309115,34901.1350229454,34512.7434373024,34102.3354182006,33675.8743749092,33236.0942922578,32927.3631068498,32617.8939962908,32311.1793802246,32008.9664547132,31712.408600535,31431.6883977305,31163.1638072065,30902.7765637729,30651.717950198,30411.984376411,30184.6183341834,29961.4946036089,29741.1221686922,29521.6512431736,29300.2634841535,29076.7840752165,28846.1887657298,28607.0809049845,28358.6406838769,28100.5847492175,27834.0088114056,27559.6207277645,27278.992247666,26993.5688195349,26704.9147103869,26414.0425542553,26122.8900974417,25832.7570344481,25544.9992289943,25261.1571511643,24980.8075963225,24705.4846368596,24435.6422497702,24171.3793338916,23912.7121871713,23658.1474741419,23407.9945948785,23161.5998592338,22918.1757946297,22676.7691991371,22435.685369058,22195.0039854023,21954.0696874269,21712.2058152629,21468.9258517104,21223.5633569524,20976.31015759,20727.0549955111,20475.8597798818,20222.5736996797,19972.1065866011
"WA",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",4,1,1,42360,44394.111818058,44350.7285321148,45060.0080226983,43186.0879726826,43670.538497253,43400.5937102581,43530.4996052317,43365.5771495174,43748.5836065147,43480.4841537349,42584.6122516843,42190.9748403287,41749.7881179857,41264.0477565399,40748.3012886115,40197.061844406,39648.92235457,39109.1999115728,38589.1041729632,38091.3010062485,37981.9712506495,37884.4674502649,37787.5863264711,37691.1834398061,37593.4111176155,37456.8325575215,37315.8918424789,37167.1282183122,37007.7110493678,36832.1344926326,36612.0916845781,36365.0742433129,36084.8931231316,35781.205983562,35452.8911627398,35087.1847108931,34696.2208223188,34283.3701090923,33854.4962199332,33412.3612484766,33101.6480670335,32790.0815957466,32481.2617237763,32176.9587959079,31878.338255679,31595.5582722152,31323.3332860326,31059.273187744,30804.548988443,30561.1244691228,30330.0639330604,30103.2629290615,29879.2238282447,29656.1041017881,29431.0845684221,29203.9912860038,28969.8125661385,28727.1495128555,28475.1805431779,28213.6270903964,27943.5979370602,27665.801198216,27381.806086557,27093.0536054278,26801.1038662907,26506.9717978408,26212.5911137916,25919.2610067629,25628.3351314572,25341.345606541,25057.865367522,24779.4307477192,24506.4932927474,24239.1500041056,23977.4116427268,23719.7812980604,23466.571731821,23217.1303579782,22970.6640757854,22726.2233940003,22482.1134512278,22238.4171320674,21994.4747952596,21749.6134756562,21503.3494857377,21255.0117792798,21004.8254688752,20752.6496779275,20498.5465737795,20242.3648137745
"WA",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
