GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY1E001,AHZZE001,AHZZE002,AHZZE003,AHZZE004,AHZZE005,AHZZE006,AHZZE007,AHZZE008,AHZZE009,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,AH1QE001,NAME_M,AHY1M001,AHZZM001,AHZZM002,AHZZM003,AHZZM004,AHZZM005,AHZZM006,AHZZM007,AHZZM008,AHZZM009,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017,AH1QM001
"G010","2013-2017","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,,"Alabama",4850771,1856695,1233863,879924,353939,79578,274361,622832,543128,79704,1856695,170650,121688,116273,112406,102590,100223,92139,88987,76070,149492,176589,206436,133618,76939,71748,60847,119712843000,"Alabama",0,5529,5682,5955,3914,2187,3515,3986,3996,1993,5529,2519,2472,2432,2583,2031,2330,2241,1898,1907,2485,3017,3071,2247,1965,1877,1490,836296844
"G020","2013-2017","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,,"Alaska",738565,252536,168265,126503,41762,14809,26953,84271,64344,19927,252536,9650,7838,8013,8854,8383,8914,8998,10163,8536,18810,26224,36745,29925,19752,23596,18135,23856699800,"Alaska",0,1271,1656,1643,1154,671,909,1565,1488,891,1271,588,528,549,675,640,684,597,639,590,849,989,1073,1203,956,942,784,317563597
"G040","2013-2017","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,,"Arizona",6809946,2482311,1622615,1180957,441658,134890,306768,859696,679053,180643,2482311,178384,118676,123075,131903,127741,127570,119431,125103,107245,208318,254294,303811,200818,119347,119778,116817,183032057800,"Arizona",0,6429,7054,7403,4786,2865,3692,5173,4474,2944,6429,2531,2608,2364,2357,2498,2189,2714,2571,2186,2977,3473,3483,3353,2384,2245,1893,966977999
"G050","2013-2017","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,,"Arkansas",2977944,1147291,760300,558304,201996,51715,150281,386991,326852,60139,1147291,97226,78535,74451,75194,70211,67958,61588,60814,50978,95836,111618,120034,72752,40780,35900,33416,70363913800,"Arkansas",0,4059,4490,5377,3185,1624,2666,3645,3637,1752,4059,2650,2262,1561,1947,1743,1991,2095,1752,1493,2345,2732,2717,1803,1320,1084,1257,625469474
"G060","2013-2017","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,,"California",38982847,12888128,8862523,6381333,2481190,764466,1716724,4025605,3075683,949922,12888128,694945,604666,536203,568994,523563,539988,500571,509113,456152,895758,1199773,1568843,1206637,818690,1008388,1255844,1238596098600,"California",0,18518,24004,31986,12665,7285,9048,11159,9844,7877,18518,5695,4671,4622,4888,5441,4625,5022,5289,4342,6671,7298,8228,7785,5903,7237,8241,4651184073
"G080","2013-2017","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,,"Colorado",5436519,2082531,1338736,1037829,300907,96026,204881,743795,567348,176447,2082531,111732,76241,78004,87613,86713,91451,90669,89361,81562,163884,213658,281673,203458,133610,146006,146896,184071648000,"Colorado",0,4593,5139,6501,3627,2143,2703,4070,4299,2752,4593,2303,1637,1824,2019,2110,2122,2176,1971,1974,2694,2883,3483,2879,2065,1749,2072,928615363
"G090","2013-2017","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,,"Connecticut",3594478,1361755,895667,664611,231056,59512,171544,466088,383275,82813,1361755,73078,48416,50964,53640,50136,49552,51651,50353,46256,92589,124347,171880,134417,97981,116915,149580,144343658300,"Connecticut",0,3669,3882,4217,3237,1793,2545,3216,2939,2002,3669,1931,1354,1542,1680,1660,1557,1576,1524,1503,2061,2265,2627,2285,1924,2048,2312,976059766
"G100","2013-2017","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,,"Delaware",943732,352357,235505,171990,63515,15873,47642,116852,94661,22191,352357,21106,12725,13379,15358,15148,17278,16063,14799,14645,27068,37672,48383,32105,21581,23845,21202,29649491900,"Delaware",0,1633,2106,2061,1523,781,1425,1790,1683,926,1633,884,751,723,682,805,898,761,883,794,971,1239,1317,1045,963,852,933,408011064
"G110","2013-2017","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,,"District of Columbia",672391,277985,121411,70359,51052,10092,40960,156574,121126,35448,277985,26654,12425,10097,9249,9321,8572,7292,8298,7325,15136,21259,29781,26091,18308,25494,42683,32271215700,"District of Columbia",0,1316,1600,1168,1152,707,987,1947,1825,1006,1316,1125,836,717,683,610,670,568,669,602,877,1089,1039,966,973,1012,1161,443680220
"G120","2013-2017","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,,"Florida",20278447,7510882,4847306,3506128,1341178,359895,981283,2663576,2158919,504657,7510882,543790,379751,405792,433039,412700,411672,389048,382555,329970,624646,754759,870293,558911,319890,332560,361506,548238194100,"Florida",0,23856,21796,22460,8408,4903,6817,9874,9671,5602,23856,5187,4814,5069,4255,5232,4766,4850,4624,4415,5773,6723,7102,5943,4553,4279,4786,3179729137
"G130","2013-2017","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,,"Georgia",10201635,3663104,2476248,1750887,725361,174272,551089,1186856,983015,203841,3663104,283919,190862,186316,196859,182836,188233,173548,174982,154681,288563,366811,436464,293091,176246,181700,187993,273862985500,"Georgia",0,8973,10268,11010,6190,3738,4891,6148,6476,3830,8973,3935,2752,3190,3255,3273,3646,3588,3796,2842,4809,3845,5438,4444,3458,2962,3152,1598045752
"G150","2013-2017","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,,"Hawaii",1421658,455502,317764,236549,81215,25919,55296,137738,108728,29010,455502,25053,14853,14164,15689,15232,15961,15901,16862,15461,31676,47147,64468,50767,35018,39123,38127,43531837800,"Hawaii",0,2028,2337,2261,1807,1164,1273,2057,2075,924,2028,1040,823,757,891,885,847,970,954,763,1148,1191,1568,1505,1178,1172,1125,433265461
"G160","2013-2017","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,,"Idaho",1657375,609124,414227,331672,82555,26855,55700,194897,159155,35742,609124,41430,30262,30581,34104,32358,35817,32972,30630,29489,54544,67824,75052,46918,25380,22493,19270,41016958500,"Idaho",0,2433,2629,2928,1848,1253,1475,2250,2366,1299,2433,1434,1260,1380,1455,1307,1308,1103,1261,1060,1722,1632,1879,1659,1355,929,1096,475977734
"G170","2013-2017","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,,"Illinois",12854526,4818452,3122491,2303775,818716,221257,597459,1695961,1407091,288870,4818452,331315,204278,220623,225830,209365,216438,204543,207337,181318,362239,474521,613614,442115,282845,311141,330930,410830492900,"Illinois",0,9284,9051,11631,5959,3251,4362,6863,6862,3592,9284,3604,2682,2712,3017,3323,3154,2978,2716,2443,4033,4348,5108,4297,3436,3915,3337,1841660023
