GISJOIN,STATEFP20
G53000109501001000,53
G53000109501001001,53
G53000109501001002,53
G53000109501001003,53
G53000109501001004,53
G53000109501001005,53
G53000109501001006,53
G53000109501001007,53
G53000109501001008,53
G53000109501001009,53
G53000109501001010,53
G53000109501001011,53
G53000109501001012,53
G53000109501001013,53
G53000109501001014,53
G53000109501001015,53
G53000109501001016,53
G53000109501001017,53
G53000109501001018,53
G53000109501001019,53
G53000109501001020,53
G53000109501001021,53
G53000109501001022,53
G53000109501001023,53
G53000109501001024,53
G53000109501001025,53
G53000109501001026,53
G53000109501001027,53
G53000109501001028,53
G53000109501001029,53
G53000109501001030,53
G53000109501001031,53
G53000109501001032,53
G53000109501001033,53
G53000109501001034,53
G53000109501001035,53
G53000109501001036,53
G53000109501001037,53
G53000109501001038,53
G53000109501001039,53
G53000109501001040,53
G53000109501001041,53
G53000109501001042,53
G53000109501001043,53
G53000109501001044,53
G53000109501001045,53
G53000109501001046,53
G53000109501001047,53
G53000109501001048,53
G53000109501001049,53
G53000109501001050,53
G53000109501001051,53
G53000109501001052,53
G53000109501001053,53
G53000109501001054,53
G53000109501001055,53
G53000109501001056,53
G53000109501001057,53
G53000109501001058,53
G53000109501001059,53
G53000109501001060,53
G53000109501001061,53
G53000109501001062,53
G53000109501001063,53
G53000109501001064,53
G53000109501001065,53
G53000109501001066,53
G53000109501001067,53
G53000109501001068,53
G53000109501001069,53
G53000109501001070,53
G53000109501001071,53
G53000109501001072,53
G53000109501001073,53
G53000109501001074,53
G53000109501001075,53
G53000109501001076,53
G53000109501001077,53
G53000109501001078,53
G53000109501001079,53
G53000109501001080,53
G53000109501001081,53
G53000109501001082,53
G53000109501001083,53
G53000109501001084,53
G53000109501001085,53
G53000109501001086,53
G53000109501001087,53
G53000109501001088,53
G53000109501001089,53
G53000109501001090,53
G53000109501001091,53
G53000109501001092,53
G53000109501001093,53
G53000109501001094,53
G53000109501001095,53
G53000109501001096,53
G53000109501001097,53
G53000109501001098,53
G53000109501001099,53
G53000109501001100,53
G53000109501001101,53
G53000109501001102,53
G53000109501001103,53
G53000109501001104,53
G53000109501001105,53
G53000109501001106,53
G53000109501001107,53
G53000109501001108,53
G53000109501001109,53
G53000109501001110,53
G53000109501001111,53
G53000109501001112,53
G53000109501001113,53
G53000109501001114,53
G53000109501001115,53
G53000109501001116,53
G53000109501001117,53
G53000109501001118,53
G53000109501001119,53
G53000109501001120,53
G53000109501001121,53
G53000109501001122,53
G53000109501001123,53
G53000109501001124,53
G53000109501001125,53
G53000109501001126,53
G53000109501001127,53
G53000109501001128,53
G53000109501001129,53
G53000109501001130,53
G53000109501001131,53
G53000109501001132,53
G53000109501001133,53
G53000109501001134,53
G53000109501001135,53
G53000109501001136,53
G53000109501001137,53
G53000109501001138,53
G53000109501001139,53
G53000109501001140,53
G53000109501001141,53
G53000109501001142,53
G53000109501001143,53
G53000109501001144,53
G53000109501001145,53
G53000109501001146,53
G53000109501001147,53
G53000109501001148,53
G53000109501001149,53
G53000109501001150,53
G53000109501001151,53
G53000109501001152,53
G53000109501001153,53
G53000109501001154,53
G53000109501001155,53
G53000109501001156,53
G53000109501001157,53
G53000109501001158,53
G53000109501001159,53
G53000109501001160,53
G53000109501001161,53
G53000109501001162,53
G53000109501001163,53
G53000109501001164,53
G53000109501001165,53
G53000109501001166,53
G53000109501001167,53
G53000109501001168,53
G53000109501001169,53
G53000109501001170,53
G53000109501001171,53
G53000109501001172,53
G53000109501001173,53
G53000109501001174,53
G53000109501001175,53
G53000109501001176,53
G53000109501001177,53
G53000109501001178,53
G53000109501001179,53
G53000109501001180,53
G53000109501001181,53
G53000109501001182,53
G53000109501001183,53
G53000109501001184,53
G53000109501001185,53
G53000109501001186,53
G53000109501001187,53
G53000109501001188,53
G53000109501001189,53
G53000109501001190,53
G53000109501001191,53
G53000109501001192,53
G53000109501001193,53
G53000109501001194,53
G53000109501001195,53
G53000109501001196,53
G53000109501001197,53
G53000109501001198,53
G53000109501001199,53
G53000109501001200,53
G53000109501001201,53
G53000109501001202,53
G53000109501001203,53
G53000109501001204,53
G53000109501001205,53
G53000109501001206,53
G53000109501001207,53
G53000109501001208,53
G53000109501001209,53
G53000109501001210,53
G53000109501001211,53
G53000109501001212,53
G53000109501001213,53
G53000109501001214,53
G53000109501001215,53
G53000109501001216,53
G53000109501001217,53
G53000109501001218,53
G53000109501001219,53
G53000109501001220,53
G53000109501001221,53
G53000109501001222,53
G53000109501001223,53
G53000109501001224,53
G53000109501001225,53
G53000109501001226,53
G53000109501001227,53
G53000109501001228,53
G53000109501001229,53
G53000109501001230,53
G53000109501001231,53
G53000109501001232,53
G53000109501001233,53
G53000109501001234,53
G53000109501001235,53
G53000109501001236,53
G53000109501001237,53
G53000109501001238,53
G53000109501001239,53
G53000109501001240,53
G53000109501001241,53
G53000109501001242,53
G53000109501001243,53
G53000109501001244,53
G53000109501001245,53
G53000109501001246,53
G53000109501001247,53
G53000109501001248,53
G53000109501001249,53
G53000109501001250,53
G53000109501001251,53
G53000109501001252,53
G53000109501001253,53
G53000109501001254,53
G53000109501001255,53
G53000109501001256,53
G53000109501001257,53
G53000109501001258,53
G53000109501001259,53
G53000109501001260,53
G53000109501001261,53
G53000109501001262,53
G53000109501001263,53
G53000109501001264,53
G53000109501001265,53
G53000109501001266,53
G53000109501001267,53
G53000109501001268,53
G53000109501001269,53
G53000109501001270,53
G53000109501001271,53
G53000109501001272,53
G53000109501001273,53
G53000109501001274,53
G53000109501001275,53
G53000109501001276,53
G53000109501001277,53
G53000109501001278,53
G53000109501001279,53
G53000109501001280,53
G53000109501001281,53
G53000109501001282,53
G53000109501001283,53
G53000109501001284,53
G53000109501001285,53
G53000109501001286,53
G53000109501001287,53
G53000109501001288,53
G53000109501001289,53
G53000109501001290,53
G53000109501001291,53
G53000109501001292,53
G53000109501002000,53
G53000109501002001,53
G53000109501002002,53
G53000109501002003,53
G53000109501002004,53
G53000109501002005,53
G53000109501002006,53
G53000109501002007,53
G53000109501002008,53
G53000109501002009,53
G53000109501002010,53
G53000109501002011,53
G53000109501002012,53
G53000109501002013,53
G53000109501002014,53
G53000109501002015,53
G53000109501002016,53
G53000109501002017,53
G53000109501002018,53
G53000109501002019,53
G53000109501002020,53
G53000109501002021,53
G53000109501002022,53
G53000109501002023,53
G53000109501002024,53
G53000109501002025,53
G53000109501002026,53
G53000109501002027,53
G53000109501002028,53
G53000109501002029,53
G53000109501002030,53
G53000109501002031,53
G53000109501002032,53
G53000109501002033,53
G53000109501002034,53
G53000109501002035,53
G53000109501002036,53
G53000109501002037,53
G53000109501002038,53
G53000109501002039,53
G53000109501002040,53
G53000109501002041,53
G53000109501002042,53
G53000109501002043,53
G53000109501002044,53
G53000109501002045,53
