state,state_name,year,sce,shares,category,decile_pop,decile_gdp,decile_gdp_pc
AK,Alaska,2015,Historical,0.027438713,d1,63058.43447,797298875.9,12643.81018
AK,Alaska,2015,Historical,0.042460684,d2,63058.43447,1233798962,19565.96247
AK,Alaska,2015,Historical,0.052076626,d3,63058.43447,1513213662,23997.0065
AK,Alaska,2015,Historical,0.06095464,d4,63058.43447,1771186059,28088.01193
AK,Alaska,2015,Historical,0.070148052,d5,63058.43447,2038323117,32324.35334
AK,Alaska,2015,Historical,0.080688436,d6,63058.43447,2344599738,37181.38197
AK,Alaska,2015,Historical,0.094104974,d7,63058.43447,2734450045,43363.74773
AK,Alaska,2015,Historical,0.113160084,d8,63058.43447,3288142843,52144.378
AK,Alaska,2015,Historical,0.147186942,d9,63058.43447,4276876375,67824.0177
AK,Alaska,2015,Historical,0.313043612,d10,63058.43447,9096247333,144251.0809
AL,Alabama,2015,Historical,0.035111242,d2,495733.0398,4295560552,8665.068106
AL,Alabama,2015,Historical,0.044507773,d3,495733.0398,5445145859,10984.02854
AL,Alabama,2015,Historical,0.05364288,d4,495733.0398,6562748172,13238.47241
AL,Alabama,2015,Historical,0.0634613,d5,495733.0398,7763947994,15661.55041
AL,Alabama,2015,Historical,0.075025677,d6,495733.0398,9178750742,18515.51138
AL,Alabama,2015,Historical,0.090124344,d7,495733.0398,11025943682,22241.69623
AL,Alabama,2015,Historical,0.112054787,d8,495733.0398,13708946062,27653.8882
AL,Alabama,2015,Historical,0.151780138,d9,495733.0398,18569003439,37457.66763
AL,Alabama,2015,Historical,0.354148591,d10,495733.0398,43327055113,87399.97465
AR,Arkansas,2015,Historical,0.035984179,d2,303628.9897,2635212697,8679.054986
AR,Arkansas,2015,Historical,0.045403953,d3,303628.9897,3325046639,10951.01835
AR,Arkansas,2015,Historical,0.054505766,d4,303628.9897,3991595491,13146.29244
AR,Arkansas,2015,Historical,0.064247082,d5,303628.9897,4704976769,15495.80879
AR,Arkansas,2015,Historical,0.075686963,d6,303628.9897,5542748270,18255.0035
AR,Arkansas,2015,Historical,0.090583298,d7,303628.9897,6633644665,21847.86331
AR,Arkansas,2015,Historical,0.112170559,d8,303628.9897,8214534541,27054.5133
AR,Arkansas,2015,Historical,0.151223008,d9,303628.9897,11074444432,36473.60696
AR,Arkansas,2015,Historical,0.349335277,d10,303628.9897,25582708376,84256.47499
AL,Alabama,2015,Historical,0.021618961,d1,495733.0398,2644895218,5335.321646
AZ,Arizona,2015,Historical,0.036605044,d2,683426.4358,6491811357,9498.917538
AZ,Arizona,2015,Historical,0.046044868,d3,683426.4358,8165940110,11948.5283
AZ,Arizona,2015,Historical,0.055126444,d4,683426.4358,9776534492,14305.1746
AZ,Arizona,2015,Historical,0.064816503,d5,683426.4358,11495041784,16819.72072
AZ,Arizona,2015,Historical,0.076171421,d6,683426.4358,13508807582,19766.2936
AZ,Arizona,2015,Historical,0.090927016,d7,683426.4358,16125674787,23595.33366
AZ,Arizona,2015,Historical,0.112272268,d8,683426.4358,19911200885,29134.37327
AZ,Arizona,2015,Historical,0.150841201,d9,683426.4358,26751302956,39142.9151
AZ,Arizona,2015,Historical,0.34582575,d10,683426.4358,61331316290,89740.91882
CA,California,2015,Historical,0.034050313,d2,3848913.014,51803851021,13459.34575
CA,California,2015,Historical,0.043391027,d3,3848913.014,66014732328,17151.52618
CA,California,2015,Historical,0.052539599,d4,3848913.014,79933290461,20767.75707
CA,California,2015,Historical,0.062423669,d5,3848913.014,94970828875,24674.71427
CA,California,2015,Historical,0.074111257,d6,3848913.014,1.13E+11,29294.56279
CA,California,2015,Historical,0.089431015,d7,3848913.014,1.36E+11,35350.12885
